"store";"sku";"price";"msrp"
"store_7x24petshop_main_tr";"EUK8710974812814";270,01;270,01
"store_7x24petshop_main_tr";"EUK19014135912";270,01;270,01
"store_7x24petshop_main_tr";"EUK5000174904680";64;64
"store_7x24petshop_main_tr";"EUK5000174905892";199;199
"store_7x24petshop_main_tr";"EUK5000174904505";64;64
"store_7x24petshop_main_tr";"EUK5000174905427";199;199
"store_7x24petshop_main_tr";"EUK5000174905267";64,51;64,51
"store_7x24petshop_main_tr";"EUK5000174906622";199;199
"store_7x24petshop_main_tr";"EUK5000174906110";209;209
"store_7x24petshop_main_tr";"EUK8710974814757";64;64
"store_7x24petshop_main_tr";"EUK8710974814856";209;209
"store_7x24petshop_main_tr";"EUK8710974812289";245;245
"store_7x24petshop_main_tr";"EUK8710974812128";245;245
"store_7x24petshop_main_tr";"EUK8710974811916";245;245
"store_7x24petshop_main_tr";"EUK8710974822745";245;245
"store_7x24petshop_main_tr";"EUK8710974812395";64,51;64,51
"store_7x24petshop_main_tr";"EUK8710974859253";56;56
"store_7x24petshop_main_tr";"EUK8710974859208";56;56
"store_7x24petshop_main_tr";"EUK8710974827597";64,5;64,5
"store_7x24petshop_main_tr";"KOGDA27040";139;139
"store_7x24petshop_main_tr";"KOGDA28010";32;32
"store_7x24petshop_main_tr";"KOGDA28020";32;32
"store_7x24petshop_main_tr";"KOGDA28030";32;32
"store_7x24petshop_main_tr";"KEGDA63100";14;14
"store_7x24petshop_main_tr";"KEGDA50020";55;55
"store_7x24petshop_main_tr";"KEGDA50030";79;79
"store_7x24petshop_main_tr";"IAM8710974801399";16,51;16,51
"store_7x24petshop_main_tr";"KEGDA51020";55;55
"store_7x24petshop_main_tr";"KEGDA51030";79;79
"store_7x24petshop_main_tr";"IAM8710974840343";57,01;57,01
"store_7x24petshop_main_tr";"IAM8710974808541";87;87
"store_7x24petshop_main_tr";"IAM8710974808640";275,01;275,01
"store_7x24petshop_main_tr";"KEGDA63120";11;11
"store_7x24petshop_main_tr";"IAM5000174910551";54,5;54,5
"store_7x24petshop_main_tr";"IAM8710974801139";84;84
"store_7x24petshop_main_tr";"IAM5000174275537";195,01;195,01
"store_7x24petshop_main_tr";"IAM5000174642605";15,01;15,01
"store_7x24petshop_main_tr";"IAM5000174911251";54,5;54,5
"store_7x24petshop_main_tr";"IAM5000174656893";84;84
"store_7x24petshop_main_tr";"KEGDA63150";11;11
"store_7x24petshop_main_tr";"IAM5000174911022";54,5;54,5
"store_7x24petshop_main_tr";"IAM8710974801061";84;84
"store_7x24petshop_main_tr";"IAM8710974916024";16,51;16,51
